filename,cosine_similarity_first,cosine_similarity_middle,cosine_similarity_last,identity_recoverable
0001.mp4,0.95197,0.954564,0.939221,False
0002.mp4,0.858775,0.84981,0.844332,False
0003.mp4,0.378297,0.407971,0.134486,True
0004.mp4,0.95737,0.046116,0.043597,True
0005.mp4,0.9485,0.232417,0.266356,True
0006.mp4,0.122537,0.175776,0.151296,True
0007.mp4,0.336042,0.583805,0.014258,True
0008.mp4,0.84564,0.855749,0.804055,False
0009.mp4,0.880073,0.863717,0.87173,False
0010.mp4,0.480007,0.70229,0.76006,True
0011.mp4,0.878019,0.798482,0.07686,True
0012.mp4,0.701221,0.721027,0.716778,False
0013.mp4,0.915968,0.90551,0.923868,False
0014.mp4,0.849268,0.588923,0.804543,True
0015.mp4,0.938587,0.938451,0.930693,False
0016.mp4,0.96866,0.966054,0.974642,False
0017.mp4,0.919786,0.940213,0.939404,False
0018.mp4,0.929813,0.85304,0.325532,True
0019.mp4,0.851604,0.640159,0.635003,True
0020.mp4,0.898387,0.859412,0.835816,False
0021.mp4,0.733788,0.833837,0.873576,False
0022.mp4,0.924218,0.928517,0.942949,False
0023.mp4,0.930433,0.936114,0.928905,False
0024.mp4,0.910714,0.935511,0.926419,False
0025.mp4,0.872584,0.044865,0.818057,True
